,num_saudis_ma
5201,56215.018367262346
5202,56224.62196395022
5203,56234.03539040666
5204,56243.2624123788
5205,56252.30672104456
5206,56261.17193448922
5207,56269.861599152806
5208,56278.379191248794
5209,56286.72811815476
5210,56294.91171977546
5211,56302.933269878915
5212,56310.795977406066
5213,56318.50298775446
5214,56326.057384036554
5215,56333.462188313046
5216,56340.720362801905
5217,56347.83481106325
5218,56354.80837916101
5219,56361.64385680139
5220,56368.34397844889
5221,56374.9114244202
5222,56381.34882195643
5223,56387.65874627412
5224,56393.84372159543
5225,56399.9062221579
5226,56405.84867320429
5227,56411.67345195272
5228,56417.38288854772
5229,56422.97926699232
5230,56428.46482606178
5231,56433.841760199175
5232,56439.11222039326
5233,56444.27831503894
5234,56449.342110780744
5235,56454.305633339536
5236,56459.170868322915
5237,56463.939762019494
5238,56468.61422217753
5239,56473.19611876808
5240,56477.68728473307
5241,56482.08951671855
5242,56486.40457579344
5243,56490.63418815397
5244,56494.78004581429
5245,56498.84380728331
5246,56502.82709822819
5247,56506.731512124665
5248,56510.55861089448
5249,56514.30992553024
5250,56517.98695670785
5251,56521.5911753869
5252,56525.12402339904
5253,56528.586914024796
5254,56531.98123255896
5255,56535.30833686473
5256,56538.56955791691
5257,56541.766200334394
5258,56544.899542902036
5259,56547.97083908219
5260,56550.9813175162
5261,56553.93218251587
5262,56556.82461454526
5263,56559.65977069287
5264,56562.43878513459
5265,56565.16276958737
5266,56567.83281375396
5267,56570.449985758816
5268,56573.01533257547
5269,56575.52988044526
5270,56577.99463528794
5271,56580.410583104014
5272,56582.77869036929
5273,56585.09990442138
5274,56587.37515383879
5275,56589.60534881228
5276,56591.791381509065
5277,56593.93412642968
5278,56596.034440757794
5279,56598.09316470318
5280,56600.11112183778
5281,56602.089119425145
5282,56604.02794874347
5283,56605.92838540201
5284,56607.791189651485
5285,56609.617106688085
5286,56611.406866951686
5287,56613.161186417994
5288,56614.88076688496
5289,56616.56629625357
5290,56618.21844880301
5291,56619.83788546038
5292,56621.42525406513
5293,56622.9811896282
5294,56624.50631458605
5295,56626.0012390497
5296,56627.46656104872
5297,56628.902866770535
5298,56630.31073079488
5299,56631.690716323705
5300,56633.0433754064
5301,56634.36924916073
5302,56635.668867989225
5303,56636.94275179142
5304,56638.19141017179
5305,56639.415342643646
5306,56640.615038828924
5307,56641.79097865409
5308,56642.943632542134
5309,56644.0734616007
5310,56645.18091780663
5311,56646.2664441867
5312,56647.33047499489
5313,56648.373435886075
5314,56649.395744086345
5315,56650.39780855989
5316,56651.380030172564
5317,56652.342801852305
5318,56653.286508746314
5319,56654.2115283751
5320,56655.1182307835
5321,56656.006978688776
5322,56656.878127625634
5323,56657.73202608849
5324,56658.5690156709
5325,56659.389431202166
5326,56660.193600881335
5327,56660.98184640844
5328,56661.754483113225
5329,56662.51182008129
5330,56663.25416027769
5331,56663.981800668225
5332,56664.69503233816
5333,56665.39414060869
5334,56666.0794051511
5335,56666.7511000986
5336,56667.40949415605
5337,56668.05485070741
5338,56668.68742792113
5339,56669.307478853385
5340,56669.915251549355
5341,56670.510989142436
5342,56671.094929951505
5343,56671.66730757623
5344,56672.22835099057
5345,56672.77828463432
5346,56673.31732850295
5347,56673.845698235564
5348,56674.363605201186
5349,56674.87125658334
