,num_saudis_ma,num_expats_ma,profit_ma
5098,55007.686293083745,357995.1991700515,0.9838857450742071
5099,55009.514287280115,357926.59022308583,0.9836281124409452
5100,55011.3060835716,357775.0818626571,0.9832083045309159
5101,55013.062398748414,357626.07607297885,0.9827804536785705
5102,55014.78393540686,357472.58277872036,0.9823546971213198
5103,55016.47138223048,357362.40782569826,0.981997715855605
5104,55018.12541426552,357249.34904136293,0.9816396711287156
5105,55021.72689121077,357201.09681209567,0.9813810087121295
5106,55025.25705178085,357153.3247045126,0.9811246423214188
5107,55028.71730818123,357106.02794128365,0.9808706208114342
5108,55032.10904465288,356972.6346284351,0.9804474557988038
5109,55035.433618026094,356799.7725923313,0.9799532423372047
5110,55038.6923582632,356688.3320690245,0.9795595828597872
5111,55041.88656899066,356612.82627729286,0.979234474203066
5112,55045.01752802055,356551.00711035467,0.9789132655727767
